Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
Jamii Africa,https://www.crunchbase.com/organization/jamii-africa,"Financial Services, Health Care, Health Insurance, Mobile","Dar Es Salaam, Dar es Salaam, Tanzania",Jamii Africa is mobile micro-health insurance for the informal sector.,"65,110",Jamii Africa is mobile micro-health insurance for the informal sector.  They built a mobile policy management platform that performs 99% of insurance administration activities and formed strategic partnerships with an Insurer/ Jubilee Insurance and a Telecom/ Vodacom Tanzania to enable a cashless facility and utilise the mobile money platforms for premium collection and benefit payouts. Their platform manages the benefit ledger and is integrated to mobile money and insurer systems. Enabling us to cut down administration costs by 99% which results to cheaper premiums affordable to their target market.
Baobab+,https://www.crunchbase.com/organization/baobab-fb68,"Consumer, Digital Media, Energy","Dakar, Dakar, Senegal",Baobab+ is a social business committed to providing access to energy and digital.,"65,186",Baobab+ is a social business committed to providing access to energy and digital. We commercialize innovative products with financing solutions that meet the needs of local populations.
kliqr,https://www.crunchbase.com/organization/kliqr-technologies,Analytics,"Lagos, Lagos, Nigeria",kliqr helps businesses understand their customers so that they can offer personalized products customers are more likely to buy,"65,298","Nigeria's leading consumer analytics solution provider, connecting Banks and Retailers to create the most exciting Merchant discounts for customers. We've built a solution that helps businesses understand their customers and where they shop so that they can offer personalized products and services that the customers are more likely to buy."
Digital Cabinet,https://www.crunchbase.com/organization/digital-cabinet,"Business Intelligence, Cloud Computing, Document Management, Software","Johannesburg, NA - South Africa, South Africa",Digital Cabinet offers an online document management and business intelligence product.,"65,385","Digital Cabinet is an online document management and business intelligence product, which lets you file your documents the same way you would in person. It mimics the unique way your organization does business, so you can maintain the same structures and processes you’ve always had; the difference being now it’ll all be online. Digital Cabinet is a web-based platform which provides full audit trails and data analytics while allowing you to view and upload documents remotely. Login via our website using your PC, tablet, or smartphone. Once logged in, you’ll find your company’s document storage system at your finger tips. No software installation is required, we’ve designed this flexible platform with ease-of-use in mind. We provide full training and support every step of the way."
One Credit,https://www.crunchbase.com/organization/one-credit,"Business Intelligence, Consumer Lending, Finance","Lagos, Lagos, Nigeria",One Credit is an online consumer lending business in Nigeria.,"65,550",One Credit is an online consumer lending business. The company was founded by Ngozi Dozie and Chijioke Dozie in 2012; and is headquartered in Nigeria.
BCP Bank (Mauritius),https://www.crunchbase.com/organization/bcp-bank-mauritius,"Finance, Financial Services, Personal Finance","Ebène, Plaines Wilhems, Mauritius",BCP Bank (Mauritius) offers corporate and retail banking services such as trade finance solutions and SME loans.,"65,553",
MOBU,https://www.crunchbase.com/organization/mobu,,"Gauteng, NA - South Africa, South Africa",Information Technology and Services,"65,573","MOBU is a next generation user-friendly smart contract and all-in-one platform for real businesses (security tokens). Launching an ICO that offers a security token can be extremely challenging due to the magnitude of technical, legal and regulatory requirements and procedures. As an organised ICO platform MOBU offers a complete blockchain solution to expand the horizons and solve the problems of cryptocurrency developers who are hesitant and unsure about all the procedures required when offering security tokens to the cryptocurrency community."
Kangpe,https://www.crunchbase.com/organization/kangpe,"Health Care, Mobile Apps, Personal Health","Lagos, Lagos, Nigeria","Kangpe software, data science and telemedicine to make health insurance more affordable, easier to access.","65,679","Kangpe software, data science and telemedicine to make health insurance more affordable, easier to access. Kangpe doctors are able to give the best medical advice for symptoms, disease diagnosis, and treatment when you describe your health condition in a detailed manner. In the case of a migraine, pay attention to what aggravates your headache, its location, what relieves you, how long and if you’ve taken prescribed drugs before the consultation. When chatting with the doctor state all prescribed and non-prescribed herbs, medications, supplements, and minerals. State recent illnesses like high blood pressure, cough, diabetes, headaches, cancer, and sexually transmitted diseases. Remember getting the proper diagnosis when sick will enable you to get the best medical advice and treatment."
XENO Investment Management,https://www.crunchbase.com/organization/xeno-investment-management,"Artificial Intelligence, Financial Exchanges","Kampala, Kampala, Uganda",XENO Investment Management uses artificial intelligence (AI) to help people.,"65,887","XENO Investment Management uses artificial intelligence (AI) to help people plan, save, and invest their money in a diversified investment portfolio."
Kitcart,https://www.crunchbase.com/organization/kitcart,"E-Commerce, E-Commerce Platforms, Software","Lekki, Lagos, Nigeria",Kitcart is a cloud-based ecommerce platform and point of sale solution that helps modern businesses to sell anywhere to anyone.,"66,103",Kitcart is a cloud-based ecommerce platform and point of sale solution that helps modern businesses to sell anywhere to anyone.
